Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
341de73b-56e5-6f58-c32f-9d56a1290e2f,2000-10-06,,999-33-6229,S99955127,X21972624X,Mr.,Randolph418,Russ979,Marks830,,,,white,nonhispanic,M,North Westport  Massachusetts  US,129 Mertz Byway Apt 30,Quincy,Massachusetts,Norfolk County,25021,02169,42.2474023760059,-71.04185074971689,39702.50,49128.37,544399
f537af38-6ad6-9a10-e0f0-7cf8693e2d6a,1938-02-16,,999-76-2865,S99993900,X17053779X,Ms.,Merlyn225,Rozanne215,Greenholt190,,,S,white,nonhispanic,F,Boston  Massachusetts  US,842 Klocko Wynd Unit 56,Fairhaven,Massachusetts,Bristol County,,00000,41.6327735195389,-70.90227525246786,1106840.22,426724.15,45381
6eabcfa8-06ad-71e6-26ee-0c34e99f1155,1946-03-19,for ,999-79-4675,S99971510,X72194449X,Ms.,Vicki422,,Zieme486,,,S,white,nonhispanic,F,Springfield  Massachusetts  US,809 Legros Lock Suite 55,Shirley,Massachusetts,Middlesex County,25017,01464,42.523830620879934,-71.59200789282826,485404.85,416729.70,83295
854f6be1-a611-abe2-b3ea-5fc7b47963e5,1989-03-12,,999-53-9842,S99979785,X19830615X,Mrs.,Vikki110,Allie437,Schaefer657,,Terry864,M,white,nonhispanic,F,Boston  Massachusetts  US,654 Rau Gate,Somerville,Massachusetts,Middlesex County,25017,02140,42.46905195947535,-71.0755107217669,26220.45,1354697.74,108797
3c1224c1-053d-19b0-2ee9-3071db0d6f93,1963-02-06,,999-66-8296,S99956857,X24952680X,Mr.,Jacob959,,Ruecker817,,,M,white,nonhispanic,M,Lexington  Massachusetts  US,485 Metz Rue Suite 3,Newton,Massachusetts,Middlesex County,25017,02462,42.322663425022775,-71.17345476997446,87761.27,254887.07,808869
1fc84dab-fdea-091c-4ce7-8fc7593e66ea,1976-08-27,,999-27-6818,S99912969,X23147534X,Mrs.,Zena758,Tiesha180,Lubowitz58,,Kuhic920,M,white,nonhispanic,F,Springfield  Massachusetts  US,988 White Forge,Cambridge,Massachusetts,Middlesex County,25017,02141,42.41567555398807,-71.09272168319973,20105.41,2053863.39,21086
c85efdfd-e89e-c60d-73f1-a6ed8e26b756,1947-03-08,1993-02-04,999-64-7333,S99977108,X70250783X,Mr.,Salvador46,Bruno518,Hamill307,,,S,white,nonhispanic,M,Haverhill  Massachusetts  US,941 Volkman Grove,North Scituate,Massachusetts,Plymouth County,25023,02060,42.17525464069643,-70.74248449318291,107345.73,16612.38,332647
96d111dc-022a-194e-d733-010a088ca305,1992-06-15,,999-86-8076,S99911921,X28586264X,Mr.,Tracy345,Robert854,D'Amore443,,,S,white,nonhispanic,M,Weymouth  Massachusetts  US,1059 Kemmer Gardens,Braintree,Massachusetts,Norfolk County,25021,02184,42.18527845203259,-71.05084085722686,50796.71,16329.30,115647
84c655c8-fb2c-2d50-f61c-ab0efc9e1bd5,2011-10-03,,999-79-7021,,,,Danilo179,,Schimmel440,,,,black,nonhispanic,M,Warren  Massachusetts  US,207 Wiza Loaf,Marlborough,Massachusetts,Middlesex County,25017,01752,42.30983400583668,-71.51335116062842,32970.73,0.00,41150
09d0813a-713c-a787-fe74-ad905050763e,1987-11-08,,999-15-4531,S99983974,X66631136X,Mr.,Max124,Olin642,Bins636,MD,,M,white,hispanic,M,Milton  Massachusetts  US,428 Senger Route,Westfield,Massachusetts,Hampden County,25013,01085,42.13184553940455,-72.79892250908834,177942.36,11031.11,107611
